City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches last 3 hours,Snow inches last 3 hours
151,Qaanaaq,GL,2020-04-20 01:42:16,77.48,-69.36,9.43,82,39,11.48,scattered clouds,0.0,0.0
152,Altenholz,DE,2020-04-20 01:42:17,54.4,10.13,37.0,82,0,9.57,clear sky,0.0,0.0
153,Tortoli,IT,2020-04-20 01:42:17,39.93,9.66,59.0,100,90,11.41,fog,0.0,0.0
154,Harper,LR,2020-04-20 01:42:17,4.38,-7.72,80.53,84,100,4.99,light rain,0.58,0.0
155,Taoudenni,ML,2020-04-20 01:37:44,22.68,-3.98,75.31,24,0,5.03,clear sky,0.0,0.0
156,Srandakan,ID,2020-04-20 01:42:18,-7.94,110.25,86.34,66,82,1.23,broken clouds,0.0,0.0
157,Cockburn Town,TC,2020-04-20 01:42:18,21.46,-71.14,79.21,84,38,17.52,scattered clouds,0.0,0.0
158,Hibbing,US,2020-04-20 01:42:18,47.43,-92.94,37.4,32,1,4.7,clear sky,0.0,0.0
159,Rocky Mountain House,CA,2020-04-20 01:42:18,52.37,-114.92,40.23,61,41,4.74,scattered clouds,0.0,0.0
160,Hualmay,PE,2020-04-20 01:42:18,-11.1,-77.61,70.05,78,6,7.16,clear sky,0.0,0.0
161,Husavik,IS,2020-04-20 01:42:19,66.04,-17.34,44.6,70,20,26.4,few clouds,0.0,0.0
162,Borba,BR,2020-04-20 01:42:19,-4.39,-59.59,73.62,97,100,2.91,light rain,0.4,0.0
163,Stephenville,US,2020-04-20 01:42:19,32.22,-98.2,73.0,49,1,6.93,clear sky,0.0,0.0
164,Nan,TH,2020-04-20 01:42:19,18.83,100.67,82.4,65,0,4.34,clear sky,0.0,0.0
165,Tezpur,IN,2020-04-20 01:41:11,26.63,92.8,79.05,63,19,7.23,light rain,0.14,0.0
166,Celica,EC,2020-04-20 01:42:20,-4.12,-79.95,59.36,67,91,1.25,overcast clouds,0.0,0.0
167,Luderitz,NA,2020-04-20 01:42:20,-26.65,15.16,59.0,87,8,3.36,clear sky,0.0,0.0
168,Glogova,RO,2020-04-20 01:42:20,44.93,22.91,53.74,80,100,2.06,overcast clouds,0.0,0.0
169,Salalah,OM,2020-04-20 01:42:21,17.02,54.09,80.6,74,20,4.7,few clouds,0.0,0.0
170,Atbasar,KZ,2020-04-20 01:42:21,51.8,68.33,58.17,52,88,10.27,overcast clouds,0.0,0.0
171,Castro,BR,2020-04-20 01:42:21,-24.79,-50.01,56.52,70,49,5.79,scattered clouds,0.0,0.0
172,Tezu,IN,2020-04-20 01:42:21,27.92,96.17,70.41,64,96,2.06,light rain,1.11,0.0
173,Clyde River,CA,2020-04-20 01:42:22,70.47,-68.59,-4.0,76,1,4.7,clear sky,0.0,0.0
174,Lasa,IT,2020-04-20 01:37:54,46.62,10.7,46.4,100,75,3.36,light rain,0.0,0.0
175,Carnarvon,AU,2020-04-20 01:37:34,-24.87,113.63,75.2,69,53,18.34,broken clouds,0.0,0.0
176,Berdigestyakh,RU,2020-04-20 01:42:23,62.1,126.7,24.33,85,57,3.42,broken clouds,0.0,0.0
177,Flinders,AU,2020-04-20 01:37:49,-34.58,150.86,64.0,58,98,5.01,overcast clouds,0.0,0.0
178,Sao Filipe,CV,2020-04-20 01:37:57,14.9,-24.5,71.49,72,1,16.69,clear sky,0.0,0.0
179,Kismayo,SO,2020-04-20 01:42:23,-0.36,42.55,80.11,81,100,11.12,overcast clouds,0.0,0.0
180,Cayenne,GF,2020-04-20 01:42:24,4.93,-52.33,77.0,100,100,10.09,moderate rain,0.0,0.0
181,Mar Del Plata,AR,2020-04-20 01:42:20,-38.0,-57.56,64.0,87,98,3.36,overcast clouds,0.0,0.0
182,Katsuura,JP,2020-04-20 01:42:24,35.13,140.3,51.01,93,75,6.93,light intensity shower rain,0.0,0.0
183,Bud,US,2020-04-20 01:42:24,39.45,-86.18,51.8,66,1,3.36,clear sky,0.0,0.0
184,Ilulissat,GL,2020-04-20 01:42:24,69.22,-51.1,30.2,46,100,19.46,overcast clouds,0.0,0.0
185,Muros,ES,2020-04-20 01:42:25,42.78,-9.06,51.01,93,99,1.01,overcast clouds,0.0,0.0
186,Kupino,RU,2020-04-20 01:42:25,54.37,77.3,55.65,62,0,8.01,clear sky,0.0,0.0
187,Los Llanos De Aridane,ES,2020-04-20 01:42:25,28.66,-17.92,62.6,67,1,5.82,clear sky,0.0,0.0
188,Temirgoyevskaya,RU,2020-04-20 01:42:26,45.11,40.28,47.26,64,94,2.46,overcast clouds,0.0,0.0
189,Andenes,NO,2020-04-20 01:42:26,69.31,16.12,41.0,100,99,19.46,light rain,0.11,0.0
190,Bumba,CD,2020-04-20 01:42:26,2.18,22.47,71.02,85,99,2.42,overcast clouds,0.0,0.0
191,Butaritari,KI,2020-04-20 01:42:26,3.07,172.79,83.77,70,26,7.83,light rain,1.01,0.0
192,Banfora,BF,2020-04-20 01:42:27,10.63,-4.77,81.93,52,54,3.67,light rain,0.61,0.0
193,Ishigaki,JP,2020-04-20 01:38:42,24.34,124.16,71.6,100,75,18.34,light intensity shower rain,0.0,0.0
194,Mandalgovi,MN,2020-04-20 01:42:27,45.76,106.27,28.9,43,95,18.41,overcast clouds,0.0,0.0
195,Fare,PF,2020-04-20 01:42:27,-16.7,-151.02,83.46,75,66,21.05,light rain,0.45,0.0
196,Yaguajay,CU,2020-04-20 01:42:27,22.33,-79.24,78.08,75,20,8.99,few clouds,0.0,0.0
197,Pacifica,US,2020-04-20 01:38:02,37.61,-122.49,60.8,51,40,23.04,scattered clouds,0.0,0.0
198,Aklavik,CA,2020-04-20 01:42:28,68.22,-135.01,23.0,53,90,3.36,overcast clouds,0.0,0.0
199,Upernavik,GL,2020-04-20 01:42:28,72.79,-56.15,23.4,88,66,47.96,light snow,0.0,0.27
200,Kavieng,PG,2020-04-20 01:42:28,-2.57,150.8,84.33,73,30,5.17,light rain,0.43,0.0
201,Uyemskiy,RU,2020-04-20 01:42:29,64.47,40.85,32.0,98,90,4.47,light shower snow,0.0,0.0
202,Keti Bandar,PK,2020-04-20 01:42:29,24.14,67.45,81.63,71,10,15.99,clear sky,0.0,0.0
203,Rudbar,AF,2020-04-20 01:42:29,30.15,62.6,73.56,33,49,2.75,scattered clouds,0.0,0.0
204,Dwarka,IN,2020-04-20 01:42:29,22.24,68.97,80.58,81,15,11.56,few clouds,0.0,0.0
205,Tawau,MY,2020-04-20 01:42:30,4.25,117.89,84.2,83,20,2.24,few clouds,0.0,0.0
206,Puksoozero,RU,2020-04-20 01:42:30,62.59,40.61,30.58,96,100,4.59,light snow,0.0,0.65
207,Kieta,PG,2020-04-20 01:42:30,-6.22,155.63,83.73,74,95,3.91,light rain,1.66,0.0
208,Sayanogorsk,RU,2020-04-20 01:42:30,53.09,91.4,56.14,34,0,2.77,clear sky,0.0,0.0
209,Takoradi,GH,2020-04-20 01:42:31,4.88,-1.76,81.05,81,100,7.11,light rain,0.65,0.0
210,Varadero,CU,2020-04-20 01:42:02,23.15,-81.25,84.2,62,20,6.93,few clouds,0.0,0.0
211,Akyab,MM,2020-04-20 01:42:31,20.15,92.9,87.06,59,8,2.08,clear sky,0.0,0.0
212,Bethel,US,2020-04-20 01:37:41,41.37,-73.41,55.4,37,75,12.75,broken clouds,0.0,0.0
213,Mukdahan,TH,2020-04-20 01:42:32,16.58,104.5,87.01,74,40,2.24,mist,0.0,0.0
214,Hofn,IS,2020-04-20 01:42:32,64.25,-15.21,44.28,86,99,8.84,overcast clouds,0.0,0.0
215,Ingham,US,2020-04-20 01:42:32,42.6,-84.38,44.6,42,1,6.93,clear sky,0.0,0.0
216,Portland,US,2020-04-20 01:39:35,45.52,-122.68,63.0,45,20,8.05,few clouds,0.0,0.0
217,Camacha,PT,2020-04-20 01:42:32,33.08,-16.33,62.6,72,20,12.75,few clouds,0.0,0.0
218,Merauke,ID,2020-04-20 01:37:53,-8.47,140.33,89.24,63,22,7.27,light rain,0.16,0.0
219,Ambon,ID,2020-04-20 01:42:33,-3.7,128.18,86.0,70,40,2.24,scattered clouds,0.0,0.0
220,Zhigansk,RU,2020-04-20 01:42:33,66.77,123.37,23.38,92,98,7.74,overcast clouds,0.0,0.0
221,Saint-Augustin,CA,2020-04-20 01:42:33,51.23,-58.65,28.54,98,100,17.11,snow,0.0,3.19
222,Svetlogorsk,BY,2020-04-20 01:42:34,52.63,29.73,30.7,96,0,8.34,clear sky,0.0,0.0
223,Tautira,PF,2020-04-20 01:42:34,-17.73,-149.15,91.4,59,65,8.05,light rain,0.47,0.0
224,Romitan,UZ,2020-04-20 01:42:34,39.93,64.38,53.6,76,0,4.7,clear sky,0.0,0.0
225,Broken Hill,AU,2020-04-20 01:42:34,-31.95,141.43,71.6,28,100,13.87,overcast clouds,0.0,0.0
226,Napasar,IN,2020-04-20 01:42:34,27.97,73.55,85.8,28,77,9.89,broken clouds,0.0,0.0
227,Dalby,AU,2020-04-20 01:42:35,-27.18,151.27,71.6,30,14,10.29,few clouds,0.0,0.0
228,Wynyard,AU,2020-04-20 01:42:35,-41.0,145.72,60.01,7,44,18.99,light rain,0.25,0.0
229,Kenora,CA,2020-04-20 01:42:35,49.82,-94.43,37.4,55,90,12.75,overcast clouds,0.0,0.0
230,Mago,RU,2020-04-20 01:42:35,53.25,140.18,31.91,96,100,9.08,light snow,0.0,0.48
