City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
275,Bol,TD,2020-04-18 22:55:19,13.46,14.71,81.07,20,21,11.65
276,Acarau,BR,2020-04-18 22:55:19,-2.89,-40.12,77.0,85,40,1.03
277,Codrington,AU,2020-04-18 22:55:19,-38.27,141.97,56.52,72,53,10.31
278,Thousand Oaks,US,2020-04-18 22:55:20,34.17,-118.84,66.0,62,43,1.01
279,Pitimbu,BR,2020-04-18 22:50:30,-7.47,-34.81,80.6,88,20,5.61
280,Mukdahan,TH,2020-04-18 22:55:20,16.58,104.5,75.0,93,70,2.48
281,Baykit,RU,2020-04-18 22:51:10,61.67,96.37,24.28,92,0,1.1
282,Mirnyy,RU,2020-04-18 22:55:21,62.54,113.96,10.4,51,70,11.18
283,Gazli,UZ,2020-04-18 22:55:21,40.13,63.45,65.86,28,77,9.04
284,Anadyr,RU,2020-04-18 22:55:21,64.75,177.48,14.0,92,90,13.42
285,Kangaatsiaq,GL,2020-04-18 22:55:21,68.31,-53.46,24.71,95,97,9.15
286,Puerto Del Rosario,ES,2020-04-18 22:55:21,28.5,-13.86,64.4,77,1,8.05
287,Kibala,TD,2020-04-18 22:55:22,9.11,18.35,85.69,41,81,5.08
288,Aswan,EG,2020-04-18 22:55:22,24.09,32.91,73.4,23,3,12.75
289,Aguada De Pasajeros,CU,2020-04-18 22:55:22,22.39,-80.85,84.2,74,36,13.87
290,Naryan-Mar,RU,2020-04-18 22:55:22,67.67,53.09,28.35,98,100,4.38
291,Rindal,NO,2020-04-18 22:55:23,63.06,9.21,37.4,93,2,5.82
292,Katsuura,JP,2020-04-18 22:50:41,35.13,140.3,64.99,55,5,20.02
293,Ostrovnoy,RU,2020-04-18 22:55:23,68.05,39.51,31.75,98,98,9.89
294,Longyearbyen,SJ,2020-04-18 22:55:23,78.22,15.64,28.4,86,20,2.24
295,Takoradi,GH,2020-04-18 22:55:23,4.88,-1.76,80.42,86,47,7.07
296,Zhigalovo,RU,2020-04-18 22:55:24,54.81,105.16,24.28,80,30,11.54
297,Arlit,NE,2020-04-18 22:51:13,18.74,7.39,83.97,11,0,7.54
298,Wenling,CN,2020-04-18 22:55:24,28.37,121.36,62.01,90,100,1.01
299,Frederico Westphalen,BR,2020-04-18 22:55:24,-27.36,-53.39,69.01,86,0,5.08
300,Sarahan,IN,2020-04-18 22:55:24,31.52,77.8,40.73,29,60,7.92
301,Kruisfontein,ZA,2020-04-18 22:55:25,-34.0,24.73,65.39,36,0,6.62
302,Grindavik,IS,2020-04-18 22:55:25,63.84,-22.43,35.6,100,90,6.93
303,Sunndalsora,NO,2020-04-18 22:55:25,62.68,8.55,37.4,93,1,5.82
